date,us2yield,sp500,usd_index
27/01/2021,0.12,3750.77,112.0782
28/01/2021,0.12,3787.38,112.0059
29/01/2021,0.11,3714.24,111.9511
01/02/2021,0.11,3773.86,112.4189
02/02/2021,0.11,3826.31,112.2862
03/02/2021,0.11,3830.17,112.2567
04/02/2021,0.11,3871.74,112.7469
05/02/2021,0.09,3886.83,112.2379
08/02/2021,0.11,3915.59,112.0428
09/02/2021,0.11,3911.23,111.7675
10/02/2021,0.11,3909.88,111.5834
11/02/2021,0.11,3916.38,111.5272
12/02/2021,0.11,3934.83,111.4889
15/02/2021,,,
16/02/2021,0.13,3932.59,111.7879
17/02/2021,0.11,3931.33,112.0204
18/02/2021,0.11,3913.97,112.1603
19/02/2021,0.11,3906.71,111.7058
22/02/2021,0.11,3876.5,111.918
23/02/2021,0.11,3881.37,111.8981
24/02/2021,0.12,3925.43,111.7212
25/02/2021,0.17,3829.34,111.9253
26/02/2021,0.14,3811.15,112.8306
01/03/2021,0.13,3901.82,112.5263
02/03/2021,0.13,3870.29,112.5342
03/03/2021,0.14,3819.72,112.7617
04/03/2021,0.14,3768.47,112.7037
05/03/2021,0.14,3841.94,113.7487
08/03/2021,0.17,3821.35,114.2678
09/03/2021,0.17,3875.44,113.928
10/03/2021,0.16,3898.81,113.5881
11/03/2021,0.14,3939.34,112.9214
12/03/2021,0.14,3943.34,113.0269
15/03/2021,0.14,3968.94,113.1928
16/03/2021,0.15,3962.71,112.9839
17/03/2021,0.13,3974.12,113.1589
18/03/2021,0.16,3915.46,112.7744
19/03/2021,0.16,3913.1,112.9756
22/03/2021,0.15,3940.59,113.0023
23/03/2021,0.15,3910.52,113.2916
24/03/2021,0.14,3889.14,113.6565
25/03/2021,0.14,3909.52,114.0016
26/03/2021,0.14,3974.54,113.7406
29/03/2021,0.14,3971.09,113.9314
30/03/2021,0.16,3958.55,114.203
31/03/2021,0.16,3972.89,113.8234
01/04/2021,0.17,4019.87,113.7389
02/04/2021,0.19,,113.7315
05/04/2021,0.17,4077.91,113.394
06/04/2021,0.16,4073.94,113.1464
07/04/2021,0.16,4079.95,113.2436
08/04/2021,0.14,4097.17,113.0917
09/04/2021,0.16,4128.8,113.2028
12/04/2021,0.18,4127.99,113.1815
13/04/2021,0.16,4141.59,113.0391
14/04/2021,0.16,4124.66,112.7849
15/04/2021,0.16,4170.42,112.6181
16/04/2021,0.16,4185.47,112.4814
19/04/2021,0.16,4163.26,112.1835
20/04/2021,0.15,4134.94,112.2354
21/04/2021,0.15,4173.42,112.1771
22/04/2021,0.16,4134.98,112.2297
23/04/2021,0.16,4180.17,112.0889
26/04/2021,0.18,4187.62,111.8109
27/04/2021,0.17,4186.72,111.9097
28/04/2021,0.17,4183.18,111.7909
29/04/2021,0.16,4211.47,111.7464
30/04/2021,0.16,4181.17,112.0839
03/05/2021,0.16,4192.66,112.005
04/05/2021,0.16,4164.66,112.2896
05/05/2021,0.16,4167.59,112.1514
06/05/2021,0.16,4201.62,111.8401
07/05/2021,0.14,4232.6,111.0249
10/05/2021,0.16,4188.43,110.7905
11/05/2021,0.16,4152.1,110.8921
12/05/2021,0.16,4063.04,111.5636
13/05/2021,0.16,4112.5,111.5955
14/05/2021,0.16,4173.85,111.1353
17/05/2021,0.16,4163.29,111.079
18/05/2021,0.16,4127.83,110.8317
19/05/2021,0.16,4115.68,110.8807
20/05/2021,0.15,4159.12,110.8605
21/05/2021,0.17,4155.86,111.0576
24/05/2021,0.15,4197.05,110.9118
25/05/2021,0.15,4188.13,110.842
26/05/2021,0.14,4195.99,110.8677
27/05/2021,0.14,4200.88,110.8688
28/05/2021,0.14,4204.11,110.7576
31/05/2021,,,
01/06/2021,0.16,4202.04,110.5046
02/06/2021,0.13,4208.12,110.5799
03/06/2021,0.16,4192.85,111.1782
04/06/2021,0.14,4229.89,110.7521
07/06/2021,0.16,4226.52,110.5155
08/06/2021,0.14,4227.26,110.649
09/06/2021,0.16,4219.55,110.5707
10/06/2021,0.14,4239.18,110.5456
11/06/2021,0.16,4247.44,111.0933
14/06/2021,0.16,4255.15,110.9659
15/06/2021,0.16,4246.59,111.3507
16/06/2021,0.21,4223.7,111.1165
17/06/2021,0.23,4221.86,112.5772
18/06/2021,0.26,4166.45,113.0408
21/06/2021,0.27,4224.79,112.8391
