model_name,dependent_variable,variable,coefficient,std_error,t_stat,p_value,r_squared,n_obs
baseline_us2y,us2yield_change,const,0.11476291958868258,0.05839706466470696,1.9652172630183768,0.05654015145815729,0.12577782669768556,41
baseline_us2y,us2yield_change,tone_score_norm,-4.29048210373456,1.8112677599828977,-2.3687729658342023,0.022895887531408865,0.12577782669768556,41
baseline_sp500,sp500_return,const,-0.0031112793098446384,0.00854523225134454,-0.36409534794740045,0.7177534144500466,0.008056267885972801,41
baseline_sp500,sp500_return,tone_score_norm,0.14916648093965926,0.26504249429818677,0.5628021322944505,0.5767908900835093,0.008056267885972801,41
baseline_usd,usd_index_change,const,0.0016960451103537788,0.001550436224128465,1.0939147860191178,0.2807029856133105,0.05057584601793863,41
baseline_usd,usd_index_change,tone_score_norm,-0.06931373301720115,0.04808897780731628,-1.44136424140535,0.15746363988613135,0.05057584601793863,41
change_us2y,us2yield_change,const,-0.019820699092729148,0.014050115897432335,-1.4107142771933567,0.1662560228194194,0.06859913390980577,41
change_us2y,us2yield_change,tone_score_norm_change,4.0973754080184355,2.4175889134969473,1.6948189103381281,0.09808161511462737,0.06859913390980577,41
change_sp500,sp500_return,const,0.0015647130723231081,0.0019993476089150853,0.7826118206489242,0.4385814550118625,0.0005686847525858685,41
change_sp500,sp500_return,tone_score_norm_change,0.05124865540680564,0.3440256755763191,0.14896753075465316,0.882346899548764,0.0005686847525858685,41
change_usd,usd_index_change,const,-0.000476681331459348,0.0003699058563137539,-1.2886558115344549,0.2051100535916584,0.005346261396511065,41
change_usd,usd_index_change,tone_score_norm_change,-0.029141720878413727,0.06364931818285971,-0.4578481232853391,0.6496023416726766,0.005346261396511065,41
